Key,T1,T2,T3,T4
0_0,0.5630496,0.35891768,0.58939683,0.4389056
1_0,0.57703954,0.43324575,0.5841847,0.34690544
2_0,0.50560135,0.4468829,0.5489355,0.46655235
3_0,0.48454043,0.48130637,0.5384474,0.45851758
4_0,0.47299987,0.42270815,0.50293815,0.5575777
5_0,0.42403516,0.3899979,0.63681334,0.47961584
6_0,0.5107277,0.451909,0.55286413,0.45022246
7_0,0.51257044,0.4572636,0.5440971,0.4555912
8_0,0.48890784,0.48679182,0.5426189,0.44054946
9_0,0.6298288,0.39662972,0.48933637,0.4216548
10_0,0.64473367,0.35367402,0.49741054,0.42757773
11_0,0.6234314,0.3485043,0.4752957,0.48567083
12_0,0.63790965,0.39986807,0.49088278,0.39985475
13_0,0.6525224,0.3551607,0.49953955,0.40750095
14_0,0.6574352,0.35712105,0.48840728,0.40856278
15_0,0.5352813,0.34494105,0.5793145,0.48009536
16_0,0.4415608,0.45017055,0.5283655,0.44044638
17_0,0.49799344,0.4161282,0.5717556,0.48758903
18_0,0.4744094,0.38936672,0.530204,0.5635118
19_0,0.4733283,0.39289603,0.52719194,0.56283
20_0,0.66578865,0.28814194,0.49752748,0.3778919
21_0,0.47945556,0.38205108,0.5542974,0.4730704
22_0,0.49628937,0.35060614,0.58643115,0.46314573
23_0,0.50881386,0.4247135,0.56602967,0.47182554
24_0,0.50388634,0.41997635,0.57788634,0.46811822
25_0,0.667349,0.49597776,0.3592168,0.39104292
26_0,0.30203366,0.253461,0.69138163,0.5294502
27_0,0.4765023,0.46609506,0.4864352,0.41121286
28_0,0.4902243,0.43173978,0.4963439,0.41548753
29_0,0.4472925,0.39931935,0.53305304,0.57336724
30_0,0.44883254,0.39838567,0.5343077,0.5731498
31_0,0.6168383,0.31011814,0.520736,0.3965771
32_0,0.49298263,0.36805534,0.5984381,0.4635208
33_0,0.47516733,0.38730028,0.5663516,0.44384703
34_0,0.48387536,0.38366672,0.5605037,0.45455715
35_0,0.48872298,0.37599418,0.5883219,0.46081057
37_0,0.4431243,0.36449248,0.61787426,0.4909974
