,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
0,Sec61g,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Sec61g,Sec61g,Sec61g,Sec61g,Sec61g,Sec61g,Trim47,Sec61g,Sec61g,Sec61g,Padi2,Trim47,Trim47,Sec61g,Sec61g,Ly6e,Serpina3g,Sec61g,Sec61g,Padi2,Trim47,Trim47,Trim47,Serpina3g,Serpina3g
1,Ly6e,Rpl23a,Vamp8,Rpl23a,Vamp8,Rpl23a,Rpl23a,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Ybx1,Grasp,Ybx1,Ybx1,Ybx1,P2ry1,Grasp,Grasp,Ybx1,Ybx1,Ybx1,Trim47,Ly6e,Ybx1,P2ry1,Grasp,Grasp,Grasp,Trim47,5930430L01Rik
2,Ybx1,Rps27,Rpl23a,Lgals9,Lgals9,Rps27,Rps27,Vamp8,Myl12b,Myl12b,Rpl23a,Myl12b,Myl12b,Casp12,Myl12b,Myl12b,Myl12b,Hist1h1c,Casp12,Casp12,Myl12b,Myl12b,Rpl23a,Grasp,Myl12b,Myl12b,Hist1h1c,Casp12,Casp12,Casp12,Grasp,Grasp
3,Vamp8,Ucp2,Rps27,Rps27,Rps27,Ucp2,Ucp2,Rpl23a,Vamp8,Rpl23a,Rps27,Rpl23a,Rpl23a,Adgrg1,Vamp8,Rpl23a,Rpl23a,Cdca3,Cd274,Cd274,Rpl23a,Rpl23a,Rps27,Casp12,Ybx1,Rps27,Cdca3,Cd274,Cd274,Cd274,Casp12,Adgrg1
4,Lgals9,Pfn1,Aldoa,Ucp2,Ucp2,Aldoa,Aldoa,Rps27,Rpl23a,Rps27,Ucp2,Rps27,Rps27,Scarf1,Rpl23a,Rps27,Rps27,Ube2c,H2-T22,H2-T22,Rps27,Rps27,Ucp2,Cd274,Rps27,Ucp2,Maml3,Scarf1,Scarf1,H2-T22,Cd274,Tal1
5,Rps27,Nhp2l1,Nhp2l1,Aldoa,Rpl23a,Nhp2l1,Nhp2l1,Pfn1,Rps27,Ucp2,Pfn1,Ucp2,Ucp2,Agpat4,Rps27,Ucp2,Ucp2,Psrc1,Slc50a1,Slc50a1,Ucp2,Ucp2,Pfn1,Scarf1,Ucp2,Acadl,Ube2c,Agpat4,Agpat4,Scarf1,H2-T22,Gimap1
6,Ucp2,Set,Set,Nhp2l1,Aldoa,Set,Set,Aldoa,Acadl,Acadl,Aldoa,Acadl,Acadl,Gfod2,Acadl,Acadl,Acadl,Rab44,Scarf1,Scarf1,Acadl,Acadl,Nhp2l1,Agpat4,Acadl,Pfn1,Psrc1,Gfod2,Gfod2,Agpat4,Scarf1,Sytl4
7,Rpl23a,Fth1,Fth1,Set,Nhp2l1,Fth1,Fth1,Nhp2l1,Pfn1,Pfn1,Nhp2l1,Pfn1,Kcnq1ot1,Glipr2,Pfn1,Pfn1,Pfn1,H2-DMa,Agpat4,Agpat4,Pfn1,Pfn1,Set,Gfod2,Pfn1,Aldoa,Rab44,Pear1,Glipr2,Gfod2,Agpat4,H2-T23
8,Pfn1,Fau,Fau,Fth1,Set,Fau,Fau,Ssr4,Aldoa,Aldoa,Ssr4,Aldoa,Pfn1,Pear1,Aldoa,Aldoa,Aldoa,Il12a,Gfod2,Gfod2,Aldoa,Aldoa,Fau,Pear1,Aldoa,Nhp2l1,Hk3,Tnip3,Pear1,Glipr2,Gfod2,Arhgap6
9,Aldoa,Phb2,Phb2,Fau,Fth1,Phb2,Phb2,Set,Nhp2l1,Nhp2l1,Set,Nhp2l1,Aldoa,Tnip3,Nhp2l1,Nhp2l1,Nhp2l1,2810417H13Rik,Glipr2,Pear1,Nhp2l1,Nhp2l1,Fth1,Tnip3,Nhp2l1,Ssr4,H2-DMa,Gm1673,Tnip3,Pear1,Pear1,Hivep3
