key,trajectory,n_genes,tr_length,coherence,modulation,go_coherence,program_recovery_IFN,importance
0_0,0_0,270,4,0.7667004139178807,0.8761075762988241,9.425408481290482,1.815799700674072,0.7865841091089377
25_0,25_0,201,4,0.7244689425984538,0.8519622898915795,15.765322027289253,0.7595012525457043,0.7833674379309147
10_0,10_0,242,4,0.6541403305227206,0.8096724657202546,12.864844053936926,0.34358305246966087,0.6589355963920044
9_0,9_0,244,4,0.5734186054604575,0.758397579796883,12.836448682377462,0.6160791102433913,0.6280841320898672
13_0,13_0,240,4,0.6448843637941026,0.8039676680927667,12.877414002438528,-0.0,0.6265064039283269
14_0,14_0,243,4,0.64213731335172,0.8022530762595913,12.888288923863094,-0.0,0.6249425587619224
12_0,12_0,240,4,0.5735014670034385,0.7584711882950395,12.860303218883251,0.34358305246966087,0.6072922120616044
11_0,11_0,237,4,0.6092870265313254,0.781623696865597,12.88213830912334,-0.0,0.6039315351380319
17_0,17_0,247,4,0.5950280522148291,0.7724426276593506,11.176985614818374,0.34358305246966087,0.593307351727952
24_0,24_0,250,4,0.546177751254173,0.7402655190509898,11.159625410615627,0.34358305246966087,0.5612810945483546
19_0,19_0,234,4,0.44600990541501834,0.6696098741548453,12.874070687375307,0.7673467855740403,0.5556299696787232
29_0,29_0,231,4,0.47518765021769793,0.6909844890893534,9.45347659846705,1.160426353062281,0.5495101859676523
23_0,23_0,256,4,0.49922700994423475,0.7079429023213513,11.172054399838535,0.34358305246966087,0.5303812880688423
18_0,18_0,234,4,0.45749797899718747,0.6780976056584113,12.89944316733181,-0.0,0.5040732446132548
26_0,26_0,232,4,0.6195916389435074,0.7881822835674676,0.9489523531631209,0.653341874965175,0.46382069510391866
30_0,30_0,225,4,0.47078300668041484,0.6878481528362624,9.448463042276668,-0.0,0.4559749595156235
37_0,37_0,387,4,0.5051942941407872,0.7116690433687092,1.4824534554117776,1.26875721832435,0.4458217378528896
7_0,7_0,195,4,0.2808265564347242,0.5333991233026689,15.181600884025935,0.34358305246966087,0.44168853783906664
20_0,20_0,276,4,0.5001143146860333,0.708466995857561,1.1002845126361487,1.1560172341572261,0.4274617954307829
15_0,15_0,268,4,0.5836574042618339,0.7649907827993979,0.8913191643763002,0.4648114349127421,0.42502335103813327
32_0,32_0,294,4,0.4785624759858575,0.6930628053044439,0.8255467939706959,1.0512818836372129,0.4002214631687369
22_0,22_0,278,4,0.3647954477839047,0.6058715571399241,1.0999749284376783,1.86155719123475,0.38876159200855787
35_0,35_0,280,4,0.3619859918303251,0.6035433696796442,0.8012058596328083,1.886380774959782,0.3837177687740577
31_0,31_0,305,4,0.4140666724854886,0.6449711313005493,1.60234451019998,0.9721006375895879,0.3625955290407278
16_0,16_0,343,4,0.18980516087243543,0.43836883292331147,0.671831874906596,3.2059779505919903,0.3503307043467051
34_0,34_0,294,4,0.2463438306900026,0.49890608118944446,0.8244888953846775,2.5239863337632595,0.3464381573216737
21_0,21_0,294,4,0.25536024912430494,0.5078316925072196,1.164581166337108,2.274108860546655,0.33972945857411807
28_0,28_0,309,4,0.12774842755863636,0.3613464296242421,0.8442619980913235,3.147986003614304,0.29278856903561906
33_0,33_0,291,4,0.2133006137433655,0.4647623474728274,0.8182656647304876,1.794610401604134,0.2626626466866711
27_0,27_0,295,4,0.08405780096727793,0.29523327217669504,0.8093574454884584,1.7072907283564815,0.13541127586891227
