module,n_genes,best_adjp,neglogp,n_sig,is_sig,method,dataset
0,60,0.1843039523332947,0.7344653513889795,0,False,GTra,MND
1,48,0.00026070792669988094,3.583845764114819,41,True,GTra,MND
2,47,0.0404371301183324,1.3932196744954624,7,True,GTra,MND
3,47,0.1279192894932695,0.8930639614726515,0,False,GTra,MND
4,42,0.0495149916220753,1.305263290096523,1,True,GTra,MND
5,39,5.4042245262543615e-09,8.26726661588841,51,True,GTra,MND
6,38,4.429458793874148e-09,8.353649334091289,51,True,GTra,MND
7,37,3.666566203461596e-09,8.435740468983253,49,True,GTra,MND
8,31,0.0059405970179959,2.2261699071076717,23,True,GTra,MND
9,30,0.0056989184609399,2.244207556785986,28,True,GTra,MND
10,30,0.0196260701879419,1.7071666523383453,7,True,GTra,MND
11,29,0.0019076544961913,2.7195002795192,37,True,GTra,MND
12,27,0.1204247595601393,0.9192842121242527,0,False,GTra,MND
13,23,0.0761883476533752,1.1181114451538934,0,False,GTra,MND
14,22,0.0581550624616872,1.23541247348106,0,False,GTra,MND
0,42,0.00012696675119400606,3.8963099929297202,45,True,baseline,MND
1,25,0.0446883376355496,1.3498058003885465,8,True,baseline,MND
2,23,0.008735783027245,2.058698161182426,13,True,baseline,MND
3,20,0.0669938346570671,1.1739651629352574,0,False,baseline,MND
4,20,0.0746176423086384,1.1271584774678616,0,False,baseline,MND
5,17,9.11841097966516e-05,4.040080837427062,183,True,baseline,MND
6,16,0.0048225909107994,2.316719576709193,4,True,baseline,MND
7,15,0.0604604578004274,1.218528568712176,0,False,baseline,MND
8,14,0.0445518978611309,1.3511337907727705,8,True,baseline,MND
9,13,0.0442181877422138,1.3543990607099188,59,True,baseline,MND
10,13,0.0518786330941625,1.2850114752919493,0,False,baseline,MND
11,10,0.0358863751509532,1.4450704071290876,11,True,baseline,MND
0,60,9.186116575112269e-05,4.036868047530469,25,True,GTra,HSPC
1,60,1.8993731756682767e-05,4.721389699711924,47,True,GTra,HSPC
2,60,0.0030963414761084,2.5091511497295604,34,True,GTra,HSPC
3,60,0.0505904923216851,1.2959310942314644,0,False,GTra,HSPC
4,60,2.233719764643592e-05,4.650971313003285,53,True,GTra,HSPC
5,60,2.592964503861749e-05,4.586203428422507,69,True,GTra,HSPC
6,60,0.0035228500515294,2.4531058419675715,33,True,GTra,HSPC
7,60,0.0578961421411405,1.2373503741418967,0,False,GTra,HSPC
8,60,0.0044921877229409,2.3475421034048187,43,True,GTra,HSPC
9,60,2.390222423312888e-05,4.6215616836866555,54,True,GTra,HSPC
10,60,0.1129061695637851,0.9472823261503158,0,False,GTra,HSPC
11,60,0.0541129067882016,1.2666991364024927,0,False,GTra,HSPC
12,60,0.1643318510348198,0.7842782528276353,0,False,GTra,HSPC
13,60,1.4725477429338326e-05,4.831930615619582,41,True,GTra,HSPC
14,60,0.1413026703976602,0.8498496305929869,0,False,GTra,HSPC
15,60,0.0459299794202297,1.3379037491756467,1,True,GTra,HSPC
16,60,0.0028969348694181,2.5380612687487027,15,True,GTra,HSPC
17,60,0.0256098554053778,1.5915928735746712,62,True,GTra,HSPC
18,60,0.0472498064150639,1.3255999664783533,1,True,GTra,HSPC
19,60,0.0179686591066851,1.745484330475629,35,True,GTra,HSPC
20,60,0.0774801868042963,1.1108093408701019,0,False,GTra,HSPC
21,60,0.0441154108772727,1.355409671534126,10,True,GTra,HSPC
22,60,0.1906121346773933,0.7198494549270791,0,False,GTra,HSPC
23,60,0.18748177449409,0.7270409445835302,0,False,GTra,HSPC
24,60,0.0003716951827990813,3.4298130673609166,45,True,GTra,HSPC
25,60,0.0007870427622070264,3.104001670581191,36,True,GTra,HSPC
26,60,0.0038108818167488,2.4189745193804724,22,True,GTra,HSPC
27,60,0.1526175402215398,0.8163955503676028,0,False,GTra,HSPC
