cell_type,timepoint,PAC,n_valid_runs
1-Neurons,11,0.343,50
1-Neurons,13,0.275,50
1-Neurons,15,0.277,50
1-Neurons,17,0.275,50
2-Young neurons,11,0.386,50
2-Young neurons,13,0.348,50
2-Young neurons,15,0.372,50
2-Young neurons,17,0.331,50
3-APs/RPs,11,0.364,50
3-APs/RPs,13,0.282,50
3-APs/RPs,15,0.298,50
3-APs/RPs,17,0.273,50
4-IPs,11,0.329,50
4-IPs,13,0.354,50
4-IPs,15,0.299,50
4-IPs,17,0.311,50
5-APs/RPs,11,0.359,50
5-APs/RPs,13,0.329,50
5-APs/RPs,15,0.353,50
5-APs/RPs,17,0.078,50
6-Young neurons,11,0.4,50
6-Young neurons,13,0.382,50
6-Young neurons,15,0.395,50
6-Young neurons,17,0.37,50
7-IPs,11,0.467,50
7-IPs,13,0.404,50
7-IPs,15,0.419,50
