module,size,mean_consensus,timepoint,cluster
1,438,0.5468748106119975,11,0
2,63,0.5465130568356374,11,0
3,138,0.3531852322014175,11,0
4,529,0.23926805865841788,11,0
5,29,0.6570443349753694,11,0
6,307,0.3546175299652977,11,0
7,456,0.9424734914208601,11,0
8,40,0.7007692307692308,11,0
1,747,0.8072666716912331,11,1
2,67,0.48507462686567165,11,1
3,200,0.43186532663316585,11,1
4,122,0.45604660615092807,11,1
5,410,0.4858166855507187,11,1
6,114,0.5608787455364074,11,1
7,115,0.4218062547673532,11,1
8,85,0.4221008403361345,11,1
9,37,0.6909609609609609,11,1
10,79,0.5366179811749433,11,1
11,24,0.7439130434782608,11,1
1,491,0.7967233883370048,11,2
2,397,0.8479113553672749,11,2
3,112,0.6531274131274131,11,2
4,420,0.39635435844982386,11,2
5,174,0.39374792372599837,11,2
6,406,0.3344185367633643,11,2
1,471,0.7236256041920767,11,3
2,44,0.7392177589852008,11,3
3,525,0.5042970556161396,11,3
4,2,0.28,11,3
5,166,0.40788755020080325,11,3
6,227,0.38690655335074653,11,3
7,163,0.42223737029462993,11,3
8,77,0.4997197539302803,11,3
9,67,0.4162460425146992,11,3
10,9,0.6516666666666665,11,3
11,15,0.6070476190476192,11,3
12,234,0.3686027658559847,11,3
1,432,0.7648775457592162,11,4
2,405,0.825923725705904,11,4
3,261,0.40459888004715594,11,4
4,277,0.3155930518495265,11,4
5,307,0.34385471886908947,11,4
6,198,0.3957657796236476,11,4
7,120,0.389624649859944,11,4
1,525,0.7799576881134133,11,5
2,51,0.7103372549019609,11,5
3,63,0.650168970814132,11,5
4,79,0.6556118143459917,11,5
5,99,0.4859575345289631,11,5
6,434,0.31064271346622524,11,5
7,135,0.45102045328911,11,5
8,395,0.3077470924628927,11,5
9,219,0.3195961627078882,11,5
1,678,0.8754165305028693,11,6
2,67,0.48725463591135243,11,6
3,50,0.6816653061224489,11,6
4,696,0.445878193996527,11,6
5,72,0.5944366197183099,11,6
6,437,0.4024810530514559,11,6
1,655,0.44997427457571726,13,0
2,83,0.4767146635321775,13,0
3,73,0.4622983257229833,13,0
4,261,0.27737813144709705,13,0
5,159,0.5810636095852241,13,0
6,94,0.4054266758178906,13,0
7,298,0.7451323074141867,13,0
8,160,0.34148584905660384,13,0
9,90,0.5336279650436954,13,0
10,127,0.41090113735783024,13,0
1,330,0.7549149857234965,13,1
2,363,0.8152209183751125,13,1
3,92,0.6143334925943621,13,1
4,123,0.6579821404771425,13,1
5,168,0.6325805531793556,13,1
6,164,0.4904967828819392,13,1
7,760,0.34745336661812637,13,1
1,105,0.6239816849816849,13,2
2,112,0.5176319176319177,13,2
3,62,0.6292226335272343,13,2
4,235,0.3192049463538826,13,2
5,91,0.46417582417582415,13,2
6,166,0.41456151880248265,13,2
7,418,0.4855366998267415,13,2
8,136,0.6296732026143791,13,2
9,362,0.7753930916270031,13,2
10,35,0.6887058823529412,13,2
11,278,0.28159000597356054,13,2
1,89,0.6196782431052094,13,3
2,143,0.3956958534423323,13,3
3,370,0.42606372225884426,13,3
4,1,,13,3
5,29,0.685665024630542,13,3
6,341,0.5858326720717613,13,3
7,32,0.7031854838709677,13,3
8,68,0.5900351185250219,13,3
9,457,0.6805877384928405,13,3
10,187,0.34158702777298605,13,3
11,283,0.28427837505951936,13,3
1,542,0.6832079448336075,13,4
2,331,0.24830687540053104,13,4
3,41,0.6662682926829268,13,4
4,127,0.4160379952505937,13,4
5,293,0.6378573098321567,13,4
6,180,0.334032278088144,13,4
7,267,0.3756537410943088,13,4
8,108,0.4174316372447214,13,4
9,111,0.3781556101556102,13,4
1,835,0.6014687172417756,13,5
2,99,0.3972129457843744,13,5
3,111,0.4232366912366913,13,5
4,16,0.44766666666666666,13,5
5,69,0.5736999147485081,13,5
6,26,0.6162461538461539,13,5
7,90,0.5312609238451934,13,5
8,25,0.7122666666666667,13,5
9,76,0.4173122807017544,13,5
10,226,0.48127512291052116,13,5
11,38,0.6451778093883357,13,5
12,108,0.4554863274489443,13,5
13,93,0.4450116877045348,13,5
14,27,0.7107692307692308,13,5
15,161,0.37428260869565216,13,5
1,133,0.4602460697197539,13,6
2,84,0.429609868043603,13,6
3,287,0.3020559927877001,13,6
4,96,0.5334166666666667,13,6
5,617,0.4167291460565367,13,6
6,43,0.7440310077519379,13,6
7,20,0.7434736842105263,13,6
