,0->0->3->4[0_0],0->0->0->4[1_0],0->2->3->4[2_0],0->2->0->4[3_0],0->0->3->0[4_0],0->0->0->0[5_0],0->2->3->0[6_0],0->2->0->0[7_0],0->5->5->2[8_0],0->0->6->3[9_0],0->2->6->3[10_0],0->5->6->3[11_0],0->5->5->3[12_0],1->0->3->4[13_0],1->0->0->4[14_0],1->0->3->0[15_0],1->0->0->0[16_0],1->0->6->3[17_0],2->0->3->4[18_0],2->0->0->4[19_0],2->2->3->4[20_0],2->2->0->4[21_0],2->0->3->0[22_0],2->0->0->0[23_0],2->2->3->0[24_0],2->2->0->0[25_0],2->5->5->2[26_0],2->0->6->3[27_0],2->2->6->3[28_0],2->5->6->3[29_0],2->5->5->3[30_0],3->3->2->0[31_0],3->0->3->4[35_0],3->0->0->4[36_0],3->0->3->0[37_0],3->0->0->0[38_0],3->0->6->3[39_0]
0,Target33,Target33,HK84,HK84,Target33,HK84,HK84,HK84,Target167,Target33,HK84,Target60,Target167,Target33,Target33,Target33,Target33,Target33,Target33,HK84,HK84,HK84,Target33,HK84,HK84,HK84,Target33,Target33,HK84,Target33,Target73,Target73,Target33,Target33,Target33,Target33,Target60
1,Target167,Target167,HK21,Target33,Target167,Target33,Target73,Target33,Target95,HK11,Target33,HK21,Target123,Target167,Target167,Target167,Target167,HK11,Target67,Target33,HK21,Target33,HK76,Target33,Target73,Target33,Target73,HK11,Target33,Target171,Target67,HK87,Target167,Target167,Target167,Target167,Target33
2,Target67,Target67,Target73,Target167,HK76,Target167,HK87,Target167,Target131,Target95,HK76,HK76,Target278,Target67,Target67,Target67,Target67,Target95,Target246,HK74,Target73,HK74,Target248,Target248,HK87,Target248,HK87,Target95,HK76,Target179,Target226,Target267,HK76,HK74,HK76,Target248,HK76
3,Target246,HK87,Burn4_TF1,HK74,Target248,Target248,A3_TF1,Target248,Target282,Target282,HK21,HK84,Target207,Target246,HK87,Target246,HK87,Target282,HK11,Target248,Burn4_TF1,Target248,Target67,Target67,A3_TF1,HK87,Target67,Target282,HK21,Target272,Target174,HK43,HK74,Target248,Target248,Target203,HK74
4,HK11,Target246,HK87,Target248,Target203,Target203,Target226,Target203,Target230,Target77,HK74,HK74,Target131,HK11,Target246,Target217,Target246,Target77,Target95,HK16,HK87,Target67,Target267,HK87,Target226,Target67,A3_TF1,Target77,HK74,Target185,Target204,Target204,Target248,HK16,Target203,Target67,HK16
5,Target95,Target77,A3_TF1,Target203,Target67,Target67,A5_TF1,HK87,Target59,Target56,Burn4_TF1,Burn4_TF1,Target51,Target95,Target77,Target270,Target77,Target217,Target282,HK87,A3_TF1,HK87,Target31,Target267,Target179,Target267,Target179,Target56,Burn4_TF1,Target273,Target172,Target68,HK16,Target67,Target67,Target207,Target179
6,Target282,Target280,Target226,HK87,Target267,HK87,Target179,Target67,Target105,Target292,Target267,HK16,Target85,Target282,Target280,Target41,Target217,Target201,Target111,Target67,Target226,Target267,Target246,Target246,HK99,Target246,Target260,Target292,Target267,Target182,Target289,HK6,Target67,Target203,Target85,Target85,HK86
7,Target111,Target54,A5_TF1,Target67,Target31,Target267,HK99,Target267,Target44,Target284,Target179,Target88,Target165,Target217,Target217,Target59,Target54,Target56,Target289,Target267,Target179,Target246,HK86,HK99,Target204,HK99,Target72,Target284,Target179,Target72,HK4,Target77,Target203,Target207,Burn3_TF1,Target264,HK11
8,Target289,Target230,Target179,Target267,Target28,Target246,Target204,Target246,Target271,Target271,HK86,Target267,Target62,Target111,Target54,Target201,Target270,Target292,Target230,Target246,Target47,HK99,Target122,Target273,Target77,Target77,Target273,Target271,HK86,Target77,Target270,HK31,HK11,Target85,Target264,Target108,Target282
9,Target230,Target270,Target47,Target246,Target246,HK99,Target207,HK99,Target227,Target55,HK11,HK11,Target150,Target289,Target230,Target27,Target29,Target284,Target270,HK99,HK99,Target293,Target68,Target264,Target236,Target236,Burn3_TF1,Target55,HK11,Target176,Target117,HK53,Target282,Target264,Target176,Target214,Target72
10,Target270,Target29,HK99,HK99,HK86,Target207,Target77,Target207,Target55,Burn5_TF1,Target272,Target95,Target105,Target230,Target270,Target227,Target59,Target271,Target41,Target273,Target204,Target77,Burn3_TF1,Target77,Target172,Target108,Target176,Burn5_TF1,Target272,Target22,Target76,HK1,Target85,Target108,Target108,Target217,HK37
11,Target41,Target59,Target204,Target207,Target122,Target273,Target236,Target264,Target106,HK89,Target282,Target282,HK75,Target270,Target29,Target215,Target105,Target215,Target139,Target264,Target77,Target236,Target264,Target236,Target54,HK53,Target224,HK89,Target282,Target84,Target65,HK66,Burn3_TF1,Target214,Target214,Target224,Target108
12,Target139,Target105,Target207,Target264,Target68,Target85,Target165,Target77,HK89,Target36,Target185,HK37,Target48,Target41,Target59,Burn5_TF1,Target27,Target55,Target59,Target77,Target236,Target108,Target176,Target108,Target23,Target224,Target172,Target36,Target182,HK60,HK98,Target115,Target264,Target217,Target217,Target270,Target176
13,Target59,Target27,Target77,Target77,Burn3_TF1,Target264,Target172,Target236,Target36,HK95,Target77,Target108,B4_TF1,Target139,Target105,Target106,Target271,Burn5_TF1,Target27,Target236,HK37,HK53,Target108,HK53,HK63,Target115,Target289,HK95,Target185,HK96,Target192,HK77,Target176,Target224,Target263,Target205,Target217
14,Target27,Target271,Target236,Target236,Target85,Target77,Target54,Target108,HK95,Target70,HK37,HK53,Target223,Target59,Target27,HK89,Target215,HK89,Target284,Target108,Target172,Target224,HK53,Target224,Target29,Target78,Target54,Target70,Target77,Target56,Target81,HK20,Target108,HK4,Target224,Target194,Target211
